Municipio,Número de  Vacas en Ordeño,Producción  diaria (Litros),Producción Promedio Vaca dia (Litros),Participación en la Producción  Diaria de Leche  (%),Precio promedio en finca ($/lt),Año
Total,"75,432","674,583",8.94,100,,2017
Cali,"1,463","14,585",10,2.16,"1,000",2017
Alcalá,"1,700","30,600",18,4.54,"1,150",2017
Andalucia,"1,506","13,290",9,1.97,994,2017
Ansermanuevo,"4,000","31,200",8,4.63,933,2017
Argelia,898,"5,829",6,0.86,960,2017
Bolivar,"2,240","15,008",7,2.22,883,2017
Buenaventura,70,560,8,0.08,850,2017
Buga,"2,249","23,055",10,3.42,"1,008",2017
Bugalagrande,"3,600","30,528",8,4.53,"1,000",2017
Caicedonia,"1,456","12,263",8,1.82,"1,152",2017
Calima Darién,"1,018","18,834",19,2.79,944,2017
Candelaria,400,"3,160",8,0.47,"1,021",2017
Cartago,"2,767","19,152",7,2.84,"1,083",2017
Dagua,243,"1,726",7,0.26,"1,000",2017
El Aguila,359,"1,680",5,0.25,923,2017
El Cairo,587,"5,420",9,0.8,904,2017
El Cerrito,"2,495","31,955",13,4.74,975,2017
El Dovio,"2,540","30,226",12,4.48,938,2017
Florida,"1,060","10,650",10,1.58,"1,193",2017
Ginebra,"1,431","20,517",14,3.04,860,2017
Guacarí,640,"6,408",10,0.95,833,2017
Jamundì,"2,102","13,470",6,2,"1,025",2017
La Cumbre,"1,336","16,016",12,2.37,"1,050",2017
La Unión,900,"7,650",9,1.13,829,2017
La Victoria,"3,055","18,030",6,2.67,900,2017
Obando,"1,392","9,894",7,1.47,"1,005",2017
Palmira,"3,443","28,055",8,4.16,965,2017
Pradera,"1,379","13,737",10,2.04,896,2017
Restrepo,"2,250","15,890",7,2.36,932,2017
Riofrio,"1,991","20,276",10,3.01,933,2017
Roldanillo,"1,850","14,480",8,2.15,879,2017
San Pedro,720,"6,750",9,1,765,2017
Sevilla,"3,100","17,000",5,2.52,859,2017
Toro,926,"9,340",10,1.38,838,2017
Trujillo,"1,569","17,044",11,2.53,960,2017
